date,clock,stadium,class,attendance,Home Team,Goals Home,Away Team,Away Goals,home_possessions,away_possessions,home_shots,away_shots,home_on,away_on,home_off,away_off,home_blocked,away_blocked,home_pass,away_pass,home_chances,away_chances,home_corners,away_corners,home_offside,away_offside,home_tackles,away_tackles,home_duels,away_duels,home_saves,away_saves,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,links,match_name,home_name,away_name
19th October 2022,7:30 PM,Gtech Community Stadium,d,"17,118",9,0,12,0,33.7,66.3,8,14,5,5,2,3,1,6,70,85.2,2,1,6,2,2,0,47.4,47.1,52.2,47.8,5,5,7,7,0,0,0,0,https://www.skysports.com/football/brentford-vs-chelsea/464747,brentford-vs-chelsea,brentford,chelsea
19th October 2022,7:30 PM,Anfield,h,"53,346",5,1,14,0,53.8,46.2,22,8,7,3,8,4,7,1,85.2,80.8,1,4,8,3,1,0,61.5,53.3,61.1,38.9,3,6,9,8,0,0,0,0,https://www.skysports.com/football/liverpool-vs-west-ham-united/464752,liverpool-vs-west-ham-united,liverpool,west-ham-united
19th October 2022,7:30 PM,"St James' Park, Newcastle",h,"52,247",4,1,17,0,49.8,50.2,16,1,4,0,9,1,3,0,76.8,76.2,1,0,8,2,0,3,77.8,44.4,64.7,35.3,0,3,9,12,2,4,0,0,https://www.skysports.com/football/newcastle-united-vs-everton/464754,newcastle-united-vs-everton,newcastle-united,everton
19th October 2022,8:15 PM,Old Trafford,h,"73,677",3,2,8,0,51.9,48.1,28,9,10,2,9,5,9,2,85.4,84.3,2,1,8,3,4,0,70.6,50,61.1,38.9,2,8,7,7,1,0,0,0,https://www.skysports.com/football/manchester-united-vs-tottenham-hotspur/464753,manchester-united-vs-tottenham-hotspur,manchester-united,tottenham-hotspur
18th October 2022,7:30 PM,Amex Stadium,d,"31,463",6,0,16,0,70.3,29.7,19,3,7,0,7,3,5,0,86.8,67.7,2,0,9,1,1,0,63.6,61.5,51.6,48.4,0,7,10,14,3,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-nottingham-forest/464748,brighton-and-hove-albion-vs-nottingham-forest,brighton-and-hove-albion,nottingham-forest
18th October 2022,8:15 PM,Selhurst Park,h,"25,125",11,2,13,1,51.3,48.7,14,10,4,4,5,5,5,1,82.4,79.4,2,2,4,3,0,4,52.2,51.7,58.6,41.4,3,2,14,18,3,1,0,0,https://www.skysports.com/football/crystal-palace-vs-wolverhampton-wanderers/464749,crystal-palace-vs-wolverhampton-wanderers,crystal-palace,wolverhampton-wanderers
16th October 2022,2:00 PM,Villa Park,a,"41,754",7,0,12,2,41.1,58.9,18,8,7,4,7,3,4,1,80.2,85.4,3,2,7,1,3,1,41.7,66.7,66.7,33.3,2,7,12,11,0,3,0,0,https://www.skysports.com/football/aston-villa-vs-chelsea/464735,aston-villa-vs-chelsea,aston-villa,chelsea
16th October 2022,2:00 PM,Elland Road,a,"36,700",19,0,2,1,47,53,16,9,4,4,5,2,7,3,78,83,1,1,6,3,4,0,56,58.8,56.5,43.5,3,4,10,11,0,2,0,0,https://www.skysports.com/football/leeds-united-vs-arsenal/464738,leeds-united-vs-arsenal,leeds-united,arsenal
16th October 2022,2:00 PM,Old Trafford,d,"73,726",3,0,4,0,63,37,15,9,2,2,8,5,5,2,81.1,72.1,2,0,4,4,2,0,61.1,30.8,35,65,2,2,13,11,3,1,0,0,https://www.skysports.com/football/manchester-united-vs-newcastle-united/464741,manchester-united-vs-newcastle-united,manchester-united,newcastle-united
16th October 2022,2:00 PM,St. Mary's Stadium,d,"29,159",20,1,14,1,39.1,60.9,10,25,8,4,1,9,1,12,72.4,80.1,1,1,4,14,1,0,35.7,54.5,50,50,3,7,7,3,1,1,0,0,https://www.skysports.com/football/southampton-vs-west-ham-united/464742,southampton-vs-west-ham-united,southampton,west-ham-united
16th October 2022,4:30 PM,Anfield,h,"53,286",5,1,1,0,36.8,63.2,13,16,2,6,8,4,3,6,76.9,87.7,5,1,5,6,3,0,52.2,70,40,60,6,1,10,7,3,1,0,0,https://www.skysports.com/football/liverpool-vs-manchester-city/464740,liverpool-vs-manchester-city,liverpool,manchester-city
15th October 2022,12:30p,The King Power Stadium,d,"31,298",18,0,11,0,53.1,46.9,14,8,5,1,5,5,4,2,85.1,82.9,1,0,9,2,2,1,48,69.2,40.9,59.1,1,6,18,13,2,2,0,0,https://www.skysports.com/football/leicester-city-vs-crystal-palace/464739,leicester-city-vs-crystal-palace,leicester-city,crystal-palace
15th October 2022,3:00 PM,Craven Cottage,d,"22,913",10,2,15,2,68.9,31.1,19,10,4,6,8,4,7,0,84.8,69.8,0,2,5,6,1,0,75,50,51.4,48.6,4,2,9,11,2,0,0,0,https://www.skysports.com/football/fulham-vs-bournemouth/464737,fulham-vs-bournemouth,fulham,bournemouth
15th October 2022,3:00 PM,Molineux,h,"31,554",13,1,16,0,58,42,9,10,2,2,5,6,2,2,81.6,71.9,0,0,4,5,2,1,47.1,37.5,34.6,65.4,2,1,17,13,2,2,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-nottingham-forest/464744,wolverhampton-wanderers-vs-nottingham-forest,wolverhampton-wanderers,nottingham-forest
15th October 2022,5:30 PM,Tottenham Hotspur Stadium,h,"61,812",8,2,17,0,61.5,38.5,21,4,7,0,6,3,8,1,88.3,81.7,2,0,7,1,0,0,75,66.7,56.5,43.5,0,5,12,13,1,4,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-everton/464743,tottenham-hotspur-vs-everton,tottenham-hotspur,everton
14th October 2022,8:00 PM,Gtech Community Stadium,h,"17,016",9,2,6,0,27.5,72.5,7,21,3,7,4,4,0,10,66.8,85.1,2,2,2,11,0,3,58.3,60,53.1,46.9,7,0,12,15,3,1,0,0,https://www.skysports.com/football/brentford-vs-brighton-and-hove-albion/464736,brentford-vs-brighton-and-hove-albion,brentford,brighton-and-hove-albion
10th October 2022,8:00 PM,The City Ground,d,"29,208",16,1,7,1,39.9,60.1,6,12,3,2,1,2,2,8,73.9,86.2,0,1,1,4,0,3,64.3,50,70,30,1,2,13,19,3,3,0,0,https://www.skysports.com/football/nottingham-forest-vs-aston-villa/464733,nottingham-forest-vs-aston-villa,nottingham-forest,aston-villa
9th October 2022,2:00 PM,Selhurst Park,h,"25,042",11,2,19,1,54.5,45.5,13,10,5,4,5,2,3,4,76.8,64.3,3,1,5,3,2,2,38.9,44.8,53.6,46.4,3,3,13,23,3,3,0,0,https://www.skysports.com/football/crystal-palace-vs-leeds-united/464729,crystal-palace-vs-leeds-united,crystal-palace,leeds-united
9th October 2022,2:00 PM,London Stadium,h,"62,454",14,3,10,1,50.3,49.7,17,8,8,2,4,4,5,2,82.5,82.3,3,0,4,2,1,2,58.3,50,43.8,56.3,1,5,9,7,1,3,0,0,https://www.skysports.com/football/west-ham-united-vs-fulham/464734,west-ham-united-vs-fulham,west-ham-united,fulham
9th October 2022,4:30 PM,Emirates Stadium,h,"59,968",2,3,5,2,44,56,11,8,7,3,1,2,3,3,78.2,80.9,2,1,4,3,3,6,62.5,46.7,56.5,43.5,2,4,11,11,1,2,0,0,https://www.skysports.com/football/arsenal-vs-liverpool/464725,arsenal-vs-liverpool,arsenal,liverpool
9th October 2022,7:00 PM,Goodison Park,a,"39,258",17,1,3,2,39.7,60.3,11,12,2,4,3,5,6,3,78.7,83.7,0,3,5,4,1,4,66.7,40,43.3,56.7,2,1,7,13,2,1,0,0,https://www.skysports.com/football/everton-vs-manchester-united/464730,everton-vs-manchester-united,everton,manchester-united
8th October 2022,3:00 PM,Vitality Stadium,h,"10,272",15,2,18,1,44.2,55.8,10,9,4,5,2,2,4,2,84.7,86.2,1,1,7,2,3,0,84.6,68.8,26.9,73.1,4,2,8,16,1,2,0,0,https://www.skysports.com/football/bournemouth-vs-leicester-city/464726,bournemouth-vs-leicester-city,bournemouth,leicester-city
8th October 2022,3:00 PM,Stamford Bridge,h,"39,940",12,3,13,0,57.4,42.6,20,8,7,2,10,5,3,1,87.6,83.5,4,1,4,2,3,0,57.7,69.2,40.9,59.1,2,4,8,8,2,0,0,0,https://www.skysports.com/football/chelsea-vs-wolverhampton-wanderers/464728,chelsea-vs-wolverhampton-wanderers,chelsea,wolverhampton-wanderers
8th October 2022,3:00 PM,Etihad Stadium,h,"53,365",1,4,20,0,65.2,34.8,21,5,8,0,9,3,4,2,89.5,80.7,6,0,9,1,1,1,53.3,47.4,52.4,47.6,0,4,4,8,0,1,0,0,https://www.skysports.com/football/manchester-city-vs-southampton/464731,manchester-city-vs-southampton,manchester-city,southampton
8th October 2022,3:00 PM,"St James' Park, Newcastle",h,"52,067",4,5,9,1,54.4,45.6,16,6,6,3,4,1,6,2,79.4,74.7,2,0,9,5,1,3,40,70,53.6,46.4,2,2,14,9,0,1,0,0,https://www.skysports.com/football/newcastle-united-vs-brentford/464732,newcastle-united-vs-brentford,newcastle-united,brentford
8th October 2022,5:30 PM,Amex Stadium,a,"31,498",6,0,8,1,58.9,41.1,14,8,4,3,5,4,5,1,87.9,81.4,1,1,6,2,2,3,52.9,80,52.2,47.8,2,4,9,14,1,2,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-tottenham-hotspur/464727,brighton-and-hove-albion-vs-tottenham-hotspur,brighton-and-hove-albion,tottenham-hotspur
3rd October 2022,8:00 PM,The King Power Stadium,h,"32,202",18,4,16,0,51.6,48.4,17,10,7,3,7,5,3,2,84.6,78,2,3,6,6,3,4,63.6,69.2,52.2,47.8,3,4,13,12,2,4,0,0,https://www.skysports.com/football/leicester-city-vs-nottingham-forest/464720,leicester-city-vs-nottingham-forest,leicester-city,nottingham-forest
2nd October 2022,2:00 PM,Etihad Stadium,h,"53,475",1,6,3,3,53.9,46.1,22,12,10,8,6,1,6,3,88,85.7,3,0,5,1,1,0,57.1,35.7,62.5,37.5,5,3,3,9,0,3,0,0,https://www.skysports.com/football/manchester-city-vs-manchester-united/464722,manchester-city-vs-manchester-united,manchester-city,manchester-united
2nd October 2022,4:30 PM,Elland Road,d,"36,582",19,0,7,0,43.8,56.2,6,19,1,7,2,8,3,4,72,77.2,0,3,2,9,0,2,75,68.8,42.1,57.9,6,1,23,12,3,2,1,0,https://www.skysports.com/football/leeds-united-vs-aston-villa/464719,leeds-united-vs-aston-villa,leeds-united,aston-villa
1st October 2022,12:30p,Emirates Stadium,h,"60,278",2,3,8,1,64.7,35.3,22,7,9,3,9,2,4,2,90.4,78.2,1,1,5,2,1,3,71.4,62.5,56.3,43.8,2,6,10,10,2,1,0,1,https://www.skysports.com/football/arsenal-vs-tottenham-hotspur/464715,arsenal-vs-tottenham-hotspur,arsenal,tottenham-hotspur
1st October 2022,3:00 PM,Vitality Stadium,d,"10,126",15,0,9,0,42,58,7,13,1,4,4,5,2,4,79.2,83,1,1,7,8,1,2,57.1,70,54.5,45.5,4,0,11,10,1,2,0,0,https://www.skysports.com/football/bournemouth-vs-brentford/464716,bournemouth-vs-brentford,bournemouth,brentford
1st October 2022,3:00 PM,Selhurst Park,a,"25,198",11,1,12,2,36,64,7,13,3,3,4,7,0,3,77.9,88,1,0,5,2,1,0,55.6,56.3,45,55,1,2,11,13,1,3,0,0,https://www.skysports.com/football/crystal-palace-vs-chelsea/464717,crystal-palace-vs-chelsea,crystal-palace,chelsea
1st October 2022,3:00 PM,Craven Cottage,a,"22,913",10,1,4,4,31.7,68.3,3,19,1,10,1,4,1,5,67.6,87.6,1,4,1,8,4,7,76.9,66.7,10,90,6,0,9,10,2,0,1,0,https://www.skysports.com/football/fulham-vs-newcastle-united/464718,fulham-vs-newcastle-united,fulham,newcastle-united
1st October 2022,3:00 PM,Anfield,d,"53,320",5,3,6,3,53.8,46.2,15,6,7,6,6,0,2,0,81.5,78,4,5,9,2,1,0,64.3,39.1,57.9,42.1,3,5,9,13,1,1,0,0,https://www.skysports.com/football/liverpool-vs-brighton-and-hove-albion/464721,liverpool-vs-brighton-and-hove-albion,liverpool,brighton-and-hove-albion
1st October 2022,3:00 PM,St. Mary's Stadium,a,"30,510",20,1,17,2,54.2,45.8,22,12,6,5,9,4,7,3,81.3,77.6,3,4,7,6,0,1,50,56.5,40.6,59.4,3,5,11,10,2,2,0,0,https://www.skysports.com/football/southampton-vs-everton/464723,southampton-vs-everton,southampton,everton
1st October 2022,5:30 PM,London Stadium,h,"62,444",14,2,13,0,39.1,60.9,18,15,5,4,5,7,8,4,80.9,87.2,0,1,1,6,2,1,59.1,58.3,64,36,4,3,8,6,2,2,0,0,https://www.skysports.com/football/west-ham-united-vs-wolverhampton-wanderers/464724,west-ham-united-vs-wolverhampton-wanderers,west-ham-united,wolverhampton-wanderers
18th September 2022,12:00p,Gtech Community Stadium,a,"17,122",9,0,2,3,36.1,63.9,5,13,2,7,3,4,0,2,74.1,86,1,2,3,3,3,1,61.9,75,72.4,27.6,4,2,10,10,0,2,0,0,https://www.skysports.com/football/brentford-vs-arsenal/464706,brentford-vs-arsenal,brentford,arsenal
18th September 2022,2:15 PM,Goodison Park,h,"39,298",17,1,14,0,53.6,46.4,7,14,2,4,4,3,1,7,83,79.6,0,0,5,14,1,1,61.1,38.9,47.6,52.4,4,1,8,11,3,1,0,0,https://www.skysports.com/football/everton-vs-west-ham-united/464709,everton-vs-west-ham-united,everton,west-ham-united
17th September 2022,12:30p,Molineux,a,"31,578",13,0,1,3,40.8,59.2,6,16,1,7,4,5,1,4,83.6,90.5,0,1,5,7,0,1,57.9,57.9,26.7,73.3,4,1,7,9,2,1,1,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-manchester-city/464714,wolverhampton-wanderers-vs-manchester-city,wolverhampton-wanderers,manchester-city
17th September 2022,3:00 PM,"St James' Park, Newcastle",d,"52,238",4,1,15,1,72.4,27.6,20,10,7,3,8,5,5,2,86.5,67.3,0,1,8,1,3,1,75,77.8,56,44,2,6,10,11,2,2,0,0,https://www.skysports.com/football/newcastle-united-vs-bournemouth/464711,newcastle-united-vs-bournemouth,newcastle-united,bournemouth
17th September 2022,5:30 PM,Tottenham Hotspur Stadium,h,"61,450",8,6,18,2,43.7,56.3,16,19,11,7,2,7,3,5,83.6,87.3,2,1,6,1,1,0,28.6,75,54.5,45.5,5,5,9,9,1,2,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-leicester-city/464713,tottenham-hotspur-vs-leicester-city,tottenham-hotspur,leicester-city
16th September 2022,8:00 PM,Villa Park,h,"40,758",7,1,20,0,52.7,47.3,11,7,3,1,3,3,5,3,74.3,73.7,1,0,6,3,1,0,54.3,64.3,59.2,40.8,1,2,13,13,3,1,0,0,https://www.skysports.com/football/aston-villa-vs-southampton/464705,aston-villa-vs-southampton,aston-villa,southampton
16th September 2022,8:00 PM,The City Ground,a,"28,654",16,2,10,3,40.8,59.2,11,15,3,7,5,3,3,5,74.4,82.9,2,2,2,10,2,1,30,41.7,55.9,44.1,4,1,11,10,2,4,0,0,https://www.skysports.com/football/nottingham-forest-vs-fulham/464712,nottingham-forest-vs-fulham,nottingham-forest,fulham
4th September 2022,2:00 PM,Amex Stadium,h,"31,185",6,5,18,2,53.5,46.5,23,6,11,4,5,1,7,1,85.4,82.6,3,2,10,1,2,3,70.6,61.5,47.6,52.4,2,7,6,8,1,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-leicester-city/464687,brighton-and-hove-albion-vs-leicester-city,brighton-and-hove-albion,leicester-city
4th September 2022,4:30 PM,Old Trafford,h,"73,431",3,3,2,1,39.5,60.5,10,16,6,3,3,8,1,5,78.1,83.4,4,2,2,5,4,0,47.1,57.1,76.9,23.1,2,3,13,9,3,3,0,0,https://www.skysports.com/football/manchester-united-vs-arsenal/464690,manchester-united-vs-arsenal,manchester-united,arsenal
3rd September 2022,12:30p,Goodison Park,d,"39,240",17,0,5,0,39.1,60.9,14,23,3,8,6,9,5,6,71.9,81,1,0,7,9,3,2,57.9,80,39.1,60.9,8,4,7,11,2,2,0,0,https://www.skysports.com/football/everton-vs-liverpool/464689,everton-vs-liverpool,everton,liverpool
3rd September 2022,3:00 PM,Gtech Community Stadium,h,"16,957",9,5,19,2,31.1,68.9,14,17,8,6,5,7,1,4,64.7,82.4,3,3,2,6,1,1,70.8,70.8,60.7,39.3,4,3,8,9,2,2,0,0,https://www.skysports.com/football/brentford-vs-leeds-united/464686,brentford-vs-leeds-united,brentford,leeds-united
3rd September 2022,3:00 PM,Stamford Bridge,h,"39,923",12,2,14,1,68.1,31.9,8,6,3,3,2,2,3,1,87.3,75.3,2,2,10,3,1,1,68.8,64.3,50,50,2,1,6,11,4,2,0,0,https://www.skysports.com/football/chelsea-vs-west-ham-united/464688,chelsea-vs-west-ham-united,chelsea,west-ham-united
3rd September 2022,3:00 PM,"St James' Park, Newcastle",d,"51,863",4,0,11,0,51.7,48.3,23,19,6,9,7,4,10,6,78.8,77.9,3,0,13,5,2,1,61.1,73.9,50,50,9,5,19,12,2,2,0,0,https://www.skysports.com/football/newcastle-united-vs-crystal-palace/464691,newcastle-united-vs-crystal-palace,newcastle-united,crystal-palace
3rd September 2022,3:00 PM,The City Ground,a,"28,720",16,2,15,3,52.7,47.3,11,8,3,3,3,2,5,3,82.7,81.2,0,1,4,6,1,1,53.8,66.7,50,50,0,1,13,10,2,1,0,0,https://www.skysports.com/football/nottingham-forest-vs-bournemouth/464692,nottingham-forest-vs-bournemouth,nottingham-forest,bournemouth
3rd September 2022,3:00 PM,Tottenham Hotspur Stadium,h,"61,641",8,2,10,1,51.9,48.1,23,9,10,3,7,5,6,1,88,85.7,1,0,10,3,3,0,47.4,61.1,60.7,39.3,2,8,9,6,3,4,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-fulham/464693,tottenham-hotspur-vs-fulham,tottenham-hotspur,fulham
3rd September 2022,3:00 PM,Molineux,h,"30,546",13,1,20,0,50.8,49.2,7,12,2,1,4,7,1,4,80.8,78.1,2,1,5,6,1,0,64.3,60,58.3,41.7,1,1,10,14,4,2,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-southampton/464694,wolverhampton-wanderers-vs-southampton,wolverhampton-wanderers,southampton
3rd September 2022,5:30 PM,Villa Park,d,"41,830",7,1,1,1,27.7,72.3,3,13,1,4,1,5,1,4,70.7,88.2,0,4,1,4,5,3,60,38.5,32.5,67.5,3,0,7,6,2,0,0,0,https://www.skysports.com/football/aston-villa-vs-manchester-city/464685,aston-villa-vs-manchester-city,aston-villa,manchester-city
1st September 2022,8:00 PM,The King Power Stadium,a,"32,226",18,0,3,1,53.9,46.1,10,9,2,2,5,5,3,2,81.8,78,1,1,1,3,0,2,61.9,53.3,52.9,47.1,1,2,7,15,1,3,0,0,https://www.skysports.com/football/leicester-city-vs-manchester-united/464680,leicester-city-vs-manchester-united,leicester-city,manchester-united
31st August 2022,7:30 PM,Emirates Stadium,h,"60,012",2,2,7,1,58.9,41.1,22,4,9,3,6,1,7,0,84.9,77,2,0,10,3,1,1,70,37.5,52.4,47.6,2,6,10,14,2,3,0,0,https://www.skysports.com/football/arsenal-vs-aston-villa/464675,arsenal-vs-aston-villa,arsenal,aston-villa
31st August 2022,7:30 PM,Vitality Stadium,d,"10,113",15,0,13,0,34.1,65.9,5,17,2,4,2,9,1,4,74.4,89.2,0,2,2,5,0,3,83.3,42.3,46.2,53.8,3,2,12,12,2,1,0,0,https://www.skysports.com/football/bournemouth-vs-wolverhampton-wanderers/464676,bournemouth-vs-wolverhampton-wanderers,bournemouth,wolverhampton-wanderers
31st August 2022,7:30 PM,Etihad Stadium,h,"53,409",1,6,16,0,74.9,25.1,17,8,9,1,6,4,2,3,91.7,73.6,4,2,10,1,2,2,84.6,57.1,68,32,1,3,9,7,0,1,0,0,https://www.skysports.com/football/manchester-city-vs-nottingham-forest/464683,manchester-city-vs-nottingham-forest,manchester-city,nottingham-forest
31st August 2022,7:45 PM,London Stadium,d,"62,450",14,1,8,1,38.3,61.7,14,12,4,3,8,2,2,7,83.2,89.4,2,0,3,4,1,0,69.2,42.9,64.3,35.7,3,3,10,10,2,5,0,0,https://www.skysports.com/football/west-ham-united-vs-tottenham-hotspur/464681,west-ham-united-vs-tottenham-hotspur,west-ham-united,tottenham-hotspur
31st August 2022,8:00 PM,Anfield,h,"53,316",5,2,4,1,71.8,28.2,23,5,6,2,8,3,9,0,83.7,63.7,1,1,13,0,2,2,71.4,39.1,40.5,59.5,1,4,9,10,0,2,0,0,https://www.skysports.com/football/liverpool-vs-newcastle-united/464682,liverpool-vs-newcastle-united,liverpool,newcastle-united
30th August 2022,7:30 PM,Selhurst Park,d,"25,043",11,1,9,1,48.9,51.1,13,9,4,3,6,5,3,1,81.1,80.1,0,5,4,6,1,0,57.1,92.9,53.8,46.2,2,3,11,8,1,2,0,0,https://www.skysports.com/football/crystal-palace-vs-brentford/464677,crystal-palace-vs-brentford,crystal-palace,brentford
30th August 2022,7:30 PM,Craven Cottage,h,"22,224",10,2,6,1,39.1,60.9,10,7,3,4,7,3,0,0,74.7,83.7,1,1,3,3,0,2,57.7,52.2,58.1,41.9,2,2,9,11,2,1,0,0,https://www.skysports.com/football/fulham-vs-brighton-and-hove-albion/464678,fulham-vs-brighton-and-hove-albion,fulham,brighton-and-hove-albion
30th August 2022,7:45 PM,St. Mary's Stadium,h,"31,542",20,2,12,1,32.2,67.8,9,10,7,4,0,2,2,4,61,82,3,1,5,3,0,3,68.4,50,44.8,55.2,3,3,15,10,2,1,0,0,https://www.skysports.com/football/southampton-vs-chelsea/464684,southampton-vs-chelsea,southampton,chelsea
30th August 2022,8:00 PM,Elland Road,d,"36,338",19,1,17,1,69.1,30.9,14,7,5,2,8,2,1,3,83.1,69.5,1,3,10,2,2,2,52,46.4,66.7,33.3,1,4,10,9,3,3,0,0,https://www.skysports.com/football/leeds-united-vs-everton/464679,leeds-united-vs-everton,leeds-united,everton
28th August 2022,2:00 PM,Villa Park,a,"41,796",7,0,14,1,57.8,42.2,9,7,3,2,4,3,2,2,84,78.5,0,0,3,2,2,1,64.7,46.2,59.1,40.9,1,3,10,10,2,0,0,0,https://www.skysports.com/football/aston-villa-vs-west-ham-united/464666,aston-villa-vs-west-ham-united,aston-villa,west-ham-united
28th August 2022,2:00 PM,Molineux,d,"31,311",13,1,4,1,36.1,63.9,10,21,4,6,2,4,4,11,69.4,82.1,1,0,4,13,3,1,45.5,66.7,40.7,59.3,5,3,10,11,2,1,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-newcastle-united/464674,wolverhampton-wanderers-vs-newcastle-united,wolverhampton-wanderers,newcastle-united
28th August 2022,4:30 PM,The City Ground,a,"29,296",16,0,8,2,55.3,44.7,17,18,1,7,9,7,7,4,84.7,80.5,0,1,6,1,1,3,52.4,53.8,50,50,4,1,11,13,6,1,0,0,https://www.skysports.com/football/nottingham-forest-vs-tottenham-hotspur/464672,nottingham-forest-vs-tottenham-hotspur,nottingham-forest,tottenham-hotspur
27th August 2022,12:30p,St. Mary's Stadium,a,"31,196",20,0,3,1,48.3,51.7,17,11,5,6,10,2,2,3,73.1,74,1,1,5,3,1,1,47.1,57.1,42.2,57.8,3,4,4,14,0,3,0,0,https://www.skysports.com/football/southampton-vs-manchester-united/464673,southampton-vs-manchester-united,southampton,manchester-united
27th August 2022,3:00 PM,Gtech Community Stadium,d,"17,009",9,1,17,1,57.8,42.2,20,14,5,7,10,2,5,5,83.5,78.4,2,2,8,5,0,2,42.9,72.7,55.3,44.7,6,4,8,8,2,2,0,0,https://www.skysports.com/football/brentford-vs-everton/464667,brentford-vs-everton,brentford,everton
27th August 2022,3:00 PM,Amex Stadium,h,"30,953",6,1,19,0,42.8,57.2,13,10,4,2,8,3,1,5,70.8,75.6,2,0,5,3,2,1,71.4,54.5,58.3,41.7,2,3,10,14,2,3,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-leeds-united/464668,brighton-and-hove-albion-vs-leeds-united,brighton-and-hove-albion,leeds-united
27th August 2022,3:00 PM,Stamford Bridge,h,"39,953",12,2,18,1,45.1,54.9,7,17,4,5,1,7,2,5,83.4,87,2,4,3,11,3,1,66.7,58.8,51.4,48.6,4,2,10,7,1,2,1,0,https://www.skysports.com/football/chelsea-vs-leicester-city/464669,chelsea-vs-leicester-city,chelsea,leicester-city
27th August 2022,3:00 PM,Anfield,h,"53,328",5,9,15,0,69.4,30.6,19,5,12,2,6,2,1,1,86.5,69.6,3,0,8,1,3,0,83.3,60,56.3,43.8,2,4,6,5,0,1,0,0,https://www.skysports.com/football/liverpool-vs-bournemouth/464670,liverpool-vs-bournemouth,liverpool,bournemouth
27th August 2022,3:00 PM,Etihad Stadium,h,"53,112",1,4,11,2,74.3,25.7,18,2,5,2,9,0,4,0,91.2,74,4,1,6,1,2,1,83.3,66.7,66.7,33.3,1,1,14,8,1,2,0,0,https://www.skysports.com/football/manchester-city-vs-crystal-palace/464671,manchester-city-vs-crystal-palace,manchester-city,crystal-palace
27th August 2022,5:30 PM,Emirates Stadium,h,"60,164",2,2,10,1,72,28,22,11,8,3,4,6,10,2,85.5,61.9,2,0,9,2,1,0,73.3,45.8,33.3,66.7,2,6,6,12,2,3,0,0,https://www.skysports.com/football/arsenal-vs-fulham/464665,arsenal-vs-fulham,arsenal,fulham
22nd August 2022,8:00 PM,Old Trafford,h,"74,147",3,2,5,1,29.5,70.5,13,17,5,5,4,7,4,5,65.9,83.7,4,1,6,8,2,2,70.8,84.6,41.2,58.8,5,3,11,7,3,1,0,0,https://www.skysports.com/football/manchester-united-vs-liverpool/464661,manchester-united-vs-liverpool,manchester-united,liverpool
21st August 2022,2:00 PM,Elland Road,h,"36,372",19,3,12,0,39.1,60.9,12,14,6,3,4,4,2,7,71.4,82,2,0,4,6,1,7,53.8,45.5,32.3,67.7,3,3,16,15,0,1,0,1,https://www.skysports.com/football/leeds-united-vs-chelsea/464659,leeds-united-vs-chelsea,leeds-united,chelsea
21st August 2022,2:00 PM,London Stadium,a,"62,449",14,0,6,2,49.6,50.4,13,11,3,2,3,5,7,4,80.5,81.4,0,2,5,4,3,1,62.5,41.2,69,31,0,3,10,7,2,0,0,0,https://www.skysports.com/football/west-ham-united-vs-brighton-and-hove-albion/464664,west-ham-united-vs-brighton-and-hove-albion,west-ham-united,brighton-and-hove-albion
21st August 2022,4:30 PM,"St James' Park, Newcastle",d,"52,258",4,3,1,3,31.3,68.7,12,21,6,10,4,4,2,7,67.3,85.7,4,6,5,5,2,1,53.8,55.6,44.4,55.6,7,2,14,7,4,2,0,0,https://www.skysports.com/football/newcastle-united-vs-manchester-city/464662,newcastle-united-vs-manchester-city,newcastle-united,manchester-city
20th August 2022,12:30p,Tottenham Hotspur Stadium,h,"61,298",8,1,13,0,49.9,50.1,11,20,4,3,5,8,2,9,87.1,83.6,1,0,8,6,2,0,44.4,66.7,35.7,64.3,3,3,10,8,2,2,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-wolverhampton-wanderers/464663,tottenham-hotspur-vs-wolverhampton-wanderers,tottenham-hotspur,wolverhampton-wanderers
20th August 2022,3:00 PM,Selhurst Park,h,"22,012",11,3,7,1,50.8,49.2,17,13,9,5,5,6,3,2,84.4,81.3,3,1,4,2,1,1,64.3,46.2,40.9,59.1,4,6,16,14,2,1,0,0,https://www.skysports.com/football/crystal-palace-vs-aston-villa/464656,crystal-palace-vs-aston-villa,crystal-palace,aston-villa
20th August 2022,3:00 PM,Goodison Park,d,"39,271",17,1,16,1,48.3,51.7,19,14,8,5,6,6,5,3,77.4,73.4,1,0,6,2,4,1,61.5,77.3,40,60,4,7,6,9,3,2,0,0,https://www.skysports.com/football/everton-vs-nottingham-forest/464657,everton-vs-nottingham-forest,everton,nottingham-forest
