date,clock,stadium,class,attendance,Home Team,Goals Home,Away Team,Away Goals,home_possessions,away_possessions,home_shots,away_shots,home_on,away_on,home_off,away_off,home_blocked,away_blocked,home_pass,away_pass,home_chances,away_chances,home_corners,away_corners,home_offside,away_offside,home_tackles,away_tackles,home_duels,away_duels,home_saves,away_saves,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,links,match_name,home_name,away_name
16/01/2021,5:30 PM,Craven Cottage,a,0,10,0,12,1,30.2,69.8,10,21,3,6,5,7,2,8,72.6,88.2,1,2,1,12,1,3,50,52.9,61.1,38.9,5,2,11,10,2,3,1,0,https://www.skysports.com/football/fulham-vs-chelsea/stats/429019,fulham-vs-chelsea,fulham,chelsea
16/01/2021,3:00 PM,London Stadium,h,0,14,1,23,0,44.8,55.2,15,10,4,2,6,3,5,5,72.8,73.8,0,0,7,4,5,1,62.5,46.2,54.4,45.6,2,2,12,9,2,1,0,0,https://www.skysports.com/football/west-ham-united-vs-burnley/stats/429025,west-ham-united-vs-burnley,west-ham-united,burnley
16/01/2021,3:00 PM,Elland Road,a,0,19,0,6,1,66.6,33.4,7,7,2,2,3,3,2,2,82.7,69.2,0,1,5,2,3,0,53.8,30,50,50,1,2,8,9,1,1,0,0,https://www.skysports.com/football/leeds-united-vs-brighton-and-hove-albion/stats/429020,leeds-united-vs-brighton-and-hove-albion,leeds-united,brighton-and-hove-albion
16/01/2021,12:30 PM,Molineux,a,0,13,2,24,3,67.8,32.2,23,12,6,5,10,5,7,2,83.2,67,1,1,11,0,0,2,66.7,52.6,58.5,41.5,2,4,10,14,2,1,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-west-bromwich-albion/stats/429026,wolverhampton-wanderers-vs-west-bromwich-albion,wolverhampton-wanderers,west-bromwich-albion
21/03/2021,7:30 PM,Villa Park,a,0,7,0,8,2,50.1,49.9,8,9,1,3,2,3,5,3,77.6,79.1,0,1,5,8,1,1,58.3,66.7,48.6,51.4,1,1,18,13,3,2,0,0,https://www.skysports.com/football/aston-villa-vs-tottenham-hotspur/stats/429008,aston-villa-vs-tottenham-hotspur,aston-villa,tottenham-hotspur
23/02/2021,6:00 PM,Elland Road,h,0,19,3,20,0,46.7,53.3,11,13,7,5,4,6,0,2,67.7,74.8,2,1,2,4,1,2,60,50,36.8,63.2,5,4,11,13,1,2,0,0,https://www.skysports.com/football/leeds-united-vs-southampton/stats/429010,leeds-united-vs-southampton,leeds-united,southampton
21/01/2021,8:00 PM,Anfield,a,0,5,0,23,1,71.8,28.2,27,6,6,4,10,2,11,0,85.7,66.8,0,0,12,0,1,6,33.3,60,41.7,58.3,3,6,11,8,2,1,0,0,https://www.skysports.com/football/liverpool-vs-burnley/stats/429015,liverpool-vs-burnley,liverpool,burnley
20/01/2021,8:15 PM,Craven Cottage,a,0,10,1,3,2,38.5,61.5,12,15,5,5,4,6,3,4,80.7,85.8,1,1,2,8,1,2,72.7,61.1,55,45,3,4,6,10,3,1,0,0,https://www.skysports.com/football/fulham-vs-manchester-united/stats/429009,fulham-vs-manchester-united,fulham,manchester-united
19/01/2021,8:15 PM,The King Power Stadium,h,0,18,2,12,0,35.6,64.4,8,9,6,5,2,3,0,1,81.8,87.9,4,0,6,3,1,3,57.9,68,56.5,43.5,5,4,7,16,1,3,0,0,https://www.skysports.com/football/leicester-city-vs-chelsea/stats/429011,leicester-city-vs-chelsea,leicester-city,chelsea
19/01/2021,6:00 PM,London Stadium,h,0,14,2,24,1,59,41,14,6,6,2,5,4,3,0,82.4,72.3,3,1,3,1,2,0,60,57.9,57.9,42.1,2,4,10,10,0,1,0,0,https://www.skysports.com/football/west-ham-united-vs-west-bromwich-albion/stats/429013,west-ham-united-vs-west-bromwich-albion,west-ham-united,west-bromwich-albion
14/01/2021,8:00 PM,Emirates Stadium,d,0,2,0,11,0,67.2,32.8,11,12,4,2,5,6,2,4,86.7,76,0,0,7,3,1,1,47.1,50,54.8,45.2,2,4,11,11,1,1,0,0,https://www.skysports.com/football/arsenal-vs-crystal-palace/stats/429007,arsenal-vs-crystal-palace,arsenal,crystal-palace
13/01/2021,6:00 PM,Etihad Stadium,h,0,1,1,6,0,65.1,34.9,16,5,6,1,4,3,6,1,89.8,77.6,3,0,8,4,2,2,62.5,71.4,61.5,38.5,1,5,4,12,0,2,0,0,https://www.skysports.com/football/manchester-city-vs-brighton-and-hove-albion/stats/429016,manchester-city-vs-brighton-and-hove-albion,manchester-city,brighton-and-hove-albion
12/1/2021,8:15 PM,Molineux,a,0,13,1,17,2,52.8,47.2,12,5,3,3,6,1,3,1,91.2,88.8,1,1,6,5,0,1,64.3,63.6,33.3,66.7,1,2,6,11,2,2,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-everton/stats/429014,wolverhampton-wanderers-vs-everton,wolverhampton-wanderers,everton
12/1/2021,6:00 PM,Bramall Lane,h,0,25,1,4,0,66.2,33.8,17,7,4,3,6,3,7,1,86.6,68.2,1,1,5,2,2,2,36.4,53.3,52.5,47.5,3,3,13,12,2,3,0,1,https://www.skysports.com/football/sheffield-united-vs-newcastle-united/stats/429012,sheffield-united-vs-newcastle-united,sheffield-united,newcastle-united
17/2/2021,6:00 PM,Turf Moor,d,0,23,1,10,1,46,54,8,8,3,3,5,4,0,1,68,73.2,1,0,5,5,6,0,60,64.3,45,55,2,2,7,13,1,1,0,0,https://www.skysports.com/football/burnley-vs-fulham/stats/428998,burnley-vs-fulham,burnley,fulham
4/1/2021,8:00 PM,St. Mary's Stadium,h,0,20,1,5,0,32.9,67.1,7,17,3,1,3,11,1,5,66.1,80.4,1,1,1,10,6,1,55.6,12.5,40,60,1,1,5,12,1,3,0,0,https://www.skysports.com/football/southampton-vs-liverpool/stats/429004,southampton-vs-liverpool,southampton,liverpool
3/1/2021,4:30 PM,Stamford Bridge,a,0,12,1,1,3,54.6,45.4,9,18,2,6,2,8,5,4,90.4,88.1,1,5,5,3,2,0,63.6,55.6,33.3,66.7,3,1,11,10,3,1,0,0,https://www.skysports.com/football/chelsea-vs-manchester-city/stats/428999,chelsea-vs-manchester-city,chelsea,manchester-city
3/1/2021,2:15 PM,"St James' Park, Newcastle",a,0,4,1,18,2,43.3,56.7,8,9,2,3,3,5,3,1,70.4,80.5,0,1,3,6,3,3,56.3,35.7,55.8,44.2,1,1,10,11,0,2,0,0,https://www.skysports.com/football/newcastle-united-vs-leicester-city/stats/429003,newcastle-united-vs-leicester-city,newcastle-united,leicester-city
